taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2480302	Charadrius wilsonia Ord, 1814	2480302	Charadrius wilsonia Ord, 1814	102	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius wilsonia	2480302	LC
2484396	Molothrus bonariensis (Gmelin, 1789)	2484396	Molothrus bonariensis (Gmelin, 1789)	52	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Molothrus	2484385	Molothrus bonariensis	2484396	LC
5959240	Centrocercus urophasianus (Bonaparte, 1827)	5959240	Centrocercus urophasianus (Bonaparte, 1827)	23	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Centrocercus	5959239	Centrocercus urophasianus	5959240	NT
2478081	Melanerpes aurifrons (Wagler, 1829)	2478081	Melanerpes aurifrons (Wagler, 1829)	2059	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Melanerpes	2478067	Melanerpes aurifrons	2478081	LC
9327	Paridae	9327	Paridae	539	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327					
2494706	Carduelis lawrencei Cassin, 1850	5231643	Spinus lawrencei (Cassin, 1850)	220	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Spinus	8051475	Spinus lawrencei	5231643	
2479646	Amazona oratrix Ridgway, 1887	2479646	Amazona oratrix Ridgway, 1887	21	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Amazona	2479603	Amazona oratrix	2479646	EN
2482436	Perisoreus canadensis (Linnaeus, 1766)	2482436	Perisoreus canadensis (Linnaeus, 1766)	3330	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Perisoreus	2482435	Perisoreus canadensis	2482436	LC
2489589	Seiurus motacilla (Vieillot, 1809)	6093862	Parkesia motacilla (Vieillot, 1809)	8	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Parkesia	6093857	Parkesia motacilla	6093862	
2482400	Aphelocoma coerulescens (Bosc, 1795)	2482400	Aphelocoma coerulescens (Bosc, 1795)	343	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Aphelocoma	2482394	Aphelocoma coerulescens	2482400	VU
